model_name,scope,module,surface_name,base_policy,alt_policy,n_mean,n_std,n_min,n_max,base_accuracy_mean,base_accuracy_std,base_accuracy_min,base_accuracy_max,alt_accuracy_mean,alt_accuracy_std,alt_accuracy_min,alt_accuracy_max,delta_mean,delta_std,delta_min,delta_max,mcnemar_p_mean,mcnemar_p_std,mcnemar_p_min,mcnemar_p_max
Qwen/Qwen2.5-7B-Instruct,math:hard_cluster_main_r2,math,hard_cluster_main_r2,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,541.0,26.664583251946766,511,562,0.4789059540534215,0.013884347852022463,0.4637964774951076,0.49110320284697506,0.7622354655046119,0.02347099802860825,0.7366548042704626,0.7827788649706457,0.2838552555184623,0.03645343853854296,0.2465338078291815,0.3193737769080235,1.2791434801454496e-23,2.21554015967702e-23,1.1217262542994799e-30,3.837428895325244e-23
Qwen/Qwen2.5-7B-Instruct,math:hard_cluster_main_r2,math,hard_cluster_main_r2,POOLED_RULE_BEST,FORMAT_TUNED_SIMPLE_RULE,541.0,26.664583251946766,511,562,0.7622354655046119,0.02347099802860825,0.7366548042704626,0.7827788649706457,0.7622354655046119,0.02347099802860825,0.7366548042704626,0.7827788649706457,-4.363636363636362e-05,7.558039887573281e-05,-0.00013090909090909087,0.0,1.0,0.0,1.0,1.0
Qwen/Qwen2.5-7B-Instruct,math:hard_cluster_main_r2,math,hard_cluster_main_r2,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,541.0,26.664583251946766,511,562,0.7622354655046119,0.02347099802860825,0.7366548042704626,0.7827788649706457,0.7628285853148135,0.022503909237699037,0.7384341637010676,0.7827788649706457,0.0005722433857275193,0.0010115599579461362,-2.3483365949118263e-05,0.001740213523131676,1.0,0.0,1.0,1.0
Qwen/Qwen2.5-7B-Instruct,math:hard_generic_main_r2,math,hard_generic_main_r2,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,165.0,3.605551275463989,161,168,0.47620502714792917,0.038878251766391515,0.43478260869565216,0.5119047619047619,0.7859512584499488,0.008963660713209108,0.7771084337349398,0.7950310559006211,0.3092959186643052,0.04469254790119829,0.27472619047619046,0.35976397515527947,5.883133557956976e-10,9.711736625784477e-10,1.8077410513282367e-12,1.709326186236787e-09
Qwen/Qwen2.5-7B-Instruct,math:hard_generic_main_r2,math,hard_generic_main_r2,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,165.0,3.605551275463989,161,168,0.47620502714792917,0.038878251766391515,0.43478260869565216,0.5119047619047619,0.790005778808817,0.012152325481129917,0.7771084337349398,0.8012422360248447,0.3132369124531251,0.04571083075163078,0.28079761904761896,0.36551552795031056,1.621337875893529e-10,2.3541374385749385e-10,3.845005957472025e-13,4.32210722073334e-10
Qwen/Qwen2.5-7B-Instruct,math:hard_generic_main_r2,math,hard_generic_main_r2,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,165.0,3.605551275463989,161,168,0.47620502714792917,0.038878251766391515,0.43478260869565216,0.5119047619047619,0.7759443571386998,0.013495263777422599,0.7619047619047619,0.7888198757763976,0.29951319771840984,0.05148829814861337,0.25094047619047616,0.3534906832298136,1.086071329260754e-09,1.879672612713165e-09,1.4195339782113736e-13,3.256530156647841e-09
Qwen/Qwen2.5-7B-Instruct,math:hard_generic_main_r2,math,hard_generic_main_r2,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,165.0,3.605551275463989,161,168,0.47620502714792917,0.038878251766391515,0.43478260869565216,0.5119047619047619,0.7879353854340758,0.009526118887089126,0.7771084337349398,0.7950310559006211,0.31131972818811476,0.042424328131852033,0.28079761904761896,0.35976397515527947,1.6260820107454659e-10,2.349257284176338e-10,1.8077410513282367e-12,4.32210722073334e-10
Qwen/Qwen2.5-7B-Instruct,math:hard_generic_main_r2,math,hard_generic_main_r2,POOLED_RULE_BEST,FORMAT_TUNED_SIMPLE_RULE,165.0,3.605551275463989,161,168,0.7879353854340758,0.009526118887089126,0.7771084337349398,0.7950310559006211,0.7859512584499488,0.008963660713209108,0.7771084337349398,0.7950310559006211,-0.0020238095238095245,0.0035053409200798717,-0.006071428571428573,0.0,1.0,0.0,1.0,1.0
Qwen/Qwen2.5-7B-Instruct,math:hard_generic_main_r2,math,hard_generic_main_r2,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,165.0,3.605551275463989,161,168,0.7879353854340758,0.009526118887089126,0.7771084337349398,0.7950310559006211,0.790005778808817,0.012152325481129917,0.7771084337349398,0.8012422360248447,0.001917184265010351,0.0033206605544695233,0.0,0.005751552795031053,1.0,0.0,1.0,1.0
Qwen/Qwen2.5-7B-Instruct,math:overall,math,overall,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,706.0,29.866369046136157,672,728,0.4782380552749634,0.01852688118010845,0.4568452380952381,0.489010989010989,0.7677270501086658,0.020196257222677375,0.7458791208791209,0.7857142857142857,0.289946779099112,0.03773046363219611,0.256456043956044,0.3308244047619048,4.280957213672648e-33,7.414719281047011e-33,6.092888797185963e-42,1.2842737559078747e-32
Qwen/Qwen2.5-7B-Instruct,math:overall,math,overall,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,706.0,29.866369046136157,672,728,0.4782380552749634,0.01852688118010845,0.4568452380952381,0.489010989010989,0.7691452098659619,0.020249084028798905,0.7472527472527473,0.7872023809523809,0.29140908918920755,0.03764572628084539,0.25787087912087914,0.3321279761904762,1.2981290030261303e-33,2.2484113894738266e-33,6.537221696472218e-43,3.894370844932829e-33
Qwen/Qwen2.5-7B-Instruct,math:overall,math,overall,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,706.0,29.866369046136157,672,728,0.4782380552749634,0.01852688118010845,0.4568452380952381,0.489010989010989,0.7671100661177263,0.012376886836526924,0.7582417582417582,0.78125,0.2889141710966224,0.03164071909357635,0.26858516483516487,0.3253690476190476,3.2363001190990336e-44,5.43775949308326e-44,1.5527995419178577e-48,9.514281683673562e-44
Qwen/Qwen2.5-7B-Instruct,math:overall,math,overall,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,706.0,29.866369046136157,672,728,0.4782380552749634,0.01852688118010845,0.4568452380952381,0.489010989010989,0.7681913026620547,0.02034483737272952,0.7458791208791209,0.7857142857142857,0.29050295365807205,0.037579125516566954,0.256456043956044,0.3308244047619048,4.280917909554492e-33,7.414753319113186e-33,6.092888797185963e-42,1.2842737559078747e-32
Qwen/Qwen2.5-7B-Instruct,math:overall,math,overall,POOLED_RULE_BEST,FORMAT_TUNED_SIMPLE_RULE,706.0,29.866369046136157,672,728,0.7681913026620547,0.02034483737272952,0.7458791208791209,0.7857142857142857,0.7677270501086658,0.020196257222677375,0.7458791208791209,0.7857142857142857,-0.0005561745589600742,0.0009633225939960606,-0.0016685236768802225,0.0,1.0,0.0,1.0,1.0
Qwen/Qwen2.5-7B-Instruct,math:overall,math,overall,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,706.0,29.866369046136157,672,728,0.7681913026620547,0.02034483737272952,0.7458791208791209,0.7857142857142857,0.7691452098659619,0.020249084028798905,0.7472527472527473,0.7872023809523809,0.0009061355311355303,0.0007867058569386297,0.0,0.001414835164835163,1.0,0.0,1.0,1.0
Qwen/Qwen2.5-7B-Instruct,overall,pooled,overall,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,943.0,31.575306807693888,907,966,0.4913482418758926,0.015977243249626558,0.4729878721058434,0.502092050209205,0.7378413851342654,0.00819376647913914,0.7290794979079498,0.7453142227122381,0.24639966035047678,0.022029422639545937,0.22778033472803347,0.2707188533627343,7.221164228515351e-39,1.250729551037166e-38,3.800560311188262e-46,2.166334508776108e-38
Qwen/Qwen2.5-7B-Instruct,overall,pooled,overall,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,943.0,31.575306807693888,907,966,0.4913482418758926,0.015977243249626558,0.4729878721058434,0.502092050209205,0.7301617363279242,0.01330429180335865,0.7165271966527197,0.743109151047409,0.2386910052364586,0.02723968979685264,0.21520083682008367,0.26855126791620726,2.2182212632754155e-36,3.842069711687808e-36,1.0180676923449044e-46,6.654661227851696e-36
Qwen/Qwen2.5-7B-Instruct,overall,pooled,overall,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,943.0,31.575306807693888,907,966,0.4913482418758926,0.015977243249626558,0.4729878721058434,0.502092050209205,0.7099963589457007,0.009588393135290064,0.7008281573498965,0.7199558985667034,0.21890516345001151,0.02394717282830148,0.20245755693581782,0.24637927232635062,1.9754374242628964e-42,3.340255481415064e-42,4.4428671970733176e-48,5.832048315794272e-42
Qwen/Qwen2.5-7B-Instruct,overall,pooled,overall,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,943.0,31.575306807693888,907,966,0.4913482418758926,0.015977243249626558,0.4729878721058434,0.502092050209205,0.7350808606346106,0.008906398612664975,0.7290794979079498,0.7453142227122381,0.24357633391845468,0.02361115704574963,0.22778033472803347,0.2707188533627343,7.221492854136172e-39,1.2507010924843437e-38,3.800560311188262e-46,2.166334508776108e-38
Qwen/Qwen2.5-7B-Instruct,overall,pooled,overall,POOLED_RULE_BEST,FORMAT_TUNED_SIMPLE_RULE,943.0,31.575306807693888,907,966,0.7350808606346106,0.008906398612664975,0.7290794979079498,0.7453142227122381,0.7378413851342654,0.00819376647913914,0.7290794979079498,0.7453142227122381,0.0028233264320220853,0.00489014482661441,0.0,0.008469979296066256,0.685791015625,0.5442259251321155,0.057373046875,1.0
Qwen/Qwen2.5-7B-Instruct,overall,pooled,overall,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,943.0,31.575306807693888,907,966,0.7350808606346106,0.008906398612664975,0.7290794979079498,0.7453142227122381,0.7301617363279242,0.01330429180335865,0.7165271966527197,0.743109151047409,-0.0048853286819960625,0.00675837199369503,-0.012579497907949794,9.10973084886173e-05,0.5761311848958334,0.5158076155598558,0.0018310546875,1.0
mistralai/Mistral-7B-Instruct-v0.3,format:ifbench,format,ifbench,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,110.0,2.0,108,112,0.19392336059002724,0.028911673501627783,0.17592592592592593,0.22727272727272727,0.27570947570947574,0.01118333876371484,0.2636363636363636,0.2857142857142857,0.08104943482443483,0.039531460075926936,0.03552727272727273,0.10673214285714284,0.13420613606770834,0.2195280796322129,0.00738525390625,0.3876953125
mistralai/Mistral-7B-Instruct-v0.3,format:ifbench,format,ifbench,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,110.0,2.0,108,112,0.19392336059002724,0.028911673501627783,0.17592592592592593,0.22727272727272727,0.2456729998396665,0.01959209965379297,0.22321428571428573,0.25925925925925924,0.05210502244668911,0.029228412418568495,0.028236363636363636,0.0847037037037037,0.24869791666666666,0.24878652435475848,0.01171875,0.5078125
mistralai/Mistral-7B-Instruct-v0.3,format:ifbench,format,ifbench,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,110.0,2.0,108,112,0.19392336059002724,0.028911673501627783,0.17592592592592593,0.22727272727272727,0.19094717011383677,0.03161532564297034,0.16964285714285715,0.22727272727272727,-0.0030714285714285717,0.005319870337532981,-0.009214285714285715,0.0,1.0,0.0,1.0,1.0
mistralai/Mistral-7B-Instruct-v0.3,format:ifbench,format,ifbench,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,110.0,2.0,108,112,0.19392336059002724,0.028911673501627783,0.17592592592592593,0.22727272727272727,0.26953663620330287,0.014180162850163922,0.25925925925925924,0.2857142857142857,0.07565437309603976,0.036454782551649106,0.03552727272727273,0.10673214285714284,0.135650634765625,0.21828710378540334,0.007537841796875,0.3876953125
mistralai/Mistral-7B-Instruct-v0.3,format:ifbench,format,ifbench,POOLED_RULE_BEST,FORMAT_TUNED_SIMPLE_RULE,110.0,2.0,108,112,0.26953663620330287,0.014180162850163922,0.25925925925925924,0.2857142857142857,0.27570947570947574,0.01118333876371484,0.2636363636363636,0.2857142857142857,0.005395061728395062,0.009344521023550609,0.0,0.016185185185185184,0.875,0.21650635094610965,0.625,1.0
mistralai/Mistral-7B-Instruct-v0.3,format:ifbench,format,ifbench,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,110.0,2.0,108,112,0.26953663620330287,0.014180162850163922,0.25925925925925924,0.2857142857142857,0.2456729998396665,0.01959209965379297,0.22321428571428573,0.25925925925925924,-0.023549350649350643,0.03466676476377694,-0.06335714285714285,0.0,0.671875,0.5683291712335379,0.015625,1.0
mistralai/Mistral-7B-Instruct-v0.3,format:ifeval_screened,format,ifeval_screened,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,129.66666666666666,11.0151410945722,117,137,0.48179757522823213,0.019850202848492916,0.4666666666666667,0.5042735042735043,0.609543812950139,0.00511867942213459,0.6058394160583942,0.6153846153846154,0.12757544450683136,0.013075165669039882,0.11328205128205127,0.13893333333333333,0.005682149436324835,0.007803511984143379,0.000310748815536499,0.01463329792022705
mistralai/Mistral-7B-Instruct-v0.3,format:ifeval_screened,format,ifeval_screened,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,129.66666666666666,11.0151410945722,117,137,0.48179757522823213,0.019850202848492916,0.4666666666666667,0.5042735042735043,0.5712035823957965,0.00960354000048504,0.5620437956204379,0.5811965811965812,0.08938497029689242,0.01180247956747576,0.07856410256410255,0.10197037037037036,0.030189156532287598,0.030322459769057782,0.004343509674072266,0.063568115234375
mistralai/Mistral-7B-Instruct-v0.3,format:ifeval_screened,format,ifeval_screened,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,129.66666666666666,11.0151410945722,117,137,0.48179757522823213,0.019850202848492916,0.4666666666666667,0.5042735042735043,0.49805976667290536,0.0367354464988885,0.4666666666666667,0.5384615384615384,0.015975752282321627,0.017951272718224078,0.0,0.035401709401709405,0.720703125,0.30966579757694396,0.3876953125,1.0
