model_name,module,shared_failure_bucket,surface,share_within_module_mean,share_within_module_std,share_within_module_min,share_within_module_max,n_mean,n_std,n_min,n_max
mistralai/Mistral-7B-Instruct-v0.3,format,binding_or_alignment,ifeval_screened,0.16931027075991623,0.014277290665588737,0.15283842794759825,0.17813765182186234,40.666666666666664,4.932882862316246,35,44
mistralai/Mistral-7B-Instruct-v0.3,format,direct_correct,ifbench,0.06123693679555678,0.010399697269126587,0.04938271604938271,0.06882591093117409,14.666666666666666,2.5166114784235836,12,17
mistralai/Mistral-7B-Instruct-v0.3,format,direct_correct,ifeval_screened,0.19226448811814456,0.013587882304224553,0.17813765182186234,0.2052401746724891,46.0,1.7320508075688772,44,47
mistralai/Mistral-7B-Instruct-v0.3,format,final_requirement_realization,ifbench,0.19479581952236172,0.007846768848228785,0.1862348178137652,0.20164609053497942,46.666666666666664,2.081665999466132,45,49
mistralai/Mistral-7B-Instruct-v0.3,format,final_requirement_realization,ifeval_screened,0.1173523036951623,0.03357094742715438,0.07860262008733625,0.13765182186234817,28.333333333333332,8.962886439832502,18,34
mistralai/Mistral-7B-Instruct-v0.3,format,structural_or_broad,ifbench,0.14057532556472774,0.01483990333499575,0.12345679012345678,0.14979757085020243,33.666666666666664,3.5118845842842465,30,37
mistralai/Mistral-7B-Instruct-v0.3,format,structural_or_broad,ifeval_screened,0.061449089616305325,0.012442194962316638,0.04938271604938271,0.07423580786026202,14.666666666666666,2.5166114784235836,12,17
mistralai/Mistral-7B-Instruct-v0.3,math,binding_or_alignment,hard_cluster_main_r2,0.2919055009935283,0.009303596252387473,0.2831858407079646,0.301699716713881,202.66666666666666,10.503967504392488,192,213
mistralai/Mistral-7B-Instruct-v0.3,math,binding_or_alignment,hard_generic_main_r2,0.1345124315007575,0.01226357853462359,0.12322946175637393,0.14756446991404013,93.33333333333333,8.504900548115385,87,103
mistralai/Mistral-7B-Instruct-v0.3,math,direct_correct,hard_cluster_main_r2,0.050915797865661104,0.0032110044925404463,0.04815864022662889,0.054441260744985676,35.333333333333336,2.309401076758502,34,38
mistralai/Mistral-7B-Instruct-v0.3,math,direct_correct,hard_generic_main_r2,0.012980740593670199,0.002573258268436737,0.01002865329512894,0.014749262536873156,9.0,1.7320508075688772,7,10
