model_name,scope,module,surface_name,base_policy,alt_policy,n_mean,n_std,n_min,n_max,base_accuracy_mean,base_accuracy_std,base_accuracy_min,base_accuracy_max,alt_accuracy_mean,alt_accuracy_std,alt_accuracy_min,alt_accuracy_max,delta_mean,delta_std,delta_min,delta_max,mcnemar_p_mean,mcnemar_p_std,mcnemar_p_min,mcnemar_p_max
Qwen/Qwen2.5-14B-Instruct,format:ifeval_screened,format,ifeval_screened,POOLED_RULE_BEST,FORMAT_TUNED_SIMPLE_RULE,126.33333333333333,9.018499505645789,117,135,0.8320957743529922,0.020469092340521182,0.8148148148148148,0.8547008547008547,0.8320957743529922,0.020469092340521182,0.8148148148148148,0.8547008547008547,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Qwen/Qwen2.5-14B-Instruct,format:ifeval_screened,format,ifeval_screened,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,126.33333333333333,9.018499505645789,117,135,0.8320957743529922,0.020469092340521182,0.8148148148148148,0.8547008547008547,0.7314998018410092,0.07109879703346444,0.674074074074074,0.8110236220472441,-0.09948359318333072,0.0720872879150441,-0.14369230769230767,-0.016299212598425195,0.1667624314626058,0.28859221028314386,6.604194641113281e-05,0.5
Qwen/Qwen2.5-14B-Instruct,format:overall,format,overall,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,231.33333333333334,6.658328118479392,224,237,0.5502536992051851,0.015477386540583294,0.5357142857142857,0.5665236051502146,0.6424257054553952,0.017405114711951518,0.630901287553648,0.6624472573839663,0.09107984701730966,0.025444154055066875,0.06309012875536481,0.11281012658227847,0.0036705708304604436,0.006066709584667637,2.532080361561384e-05,0.010673840530216694
Qwen/Qwen2.5-14B-Instruct,format:overall,format,overall,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,231.33333333333334,6.658328118479392,224,237,0.5502536992051851,0.015477386540583294,0.5357142857142857,0.5665236051502146,0.573186065773804,0.03607598398858504,0.5446428571428571,0.6137339055793991,0.02210913808670097,0.021180586660116494,0.008428571428571428,0.046506437768240344,0.4366934299468994,0.3593085684809527,0.03468966484069824,0.7265625
Qwen/Qwen2.5-14B-Instruct,format:overall,format,overall,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,231.33333333333334,6.658328118479392,224,237,0.5502536992051851,0.015477386540583294,0.5357142857142857,0.5665236051502146,0.6424257054553952,0.017405114711951518,0.630901287553648,0.6624472573839663,0.09107984701730966,0.025444154055066875,0.06309012875536481,0.11281012658227847,0.0036705708304604436,0.006066709584667637,2.532080361561384e-05,0.010673840530216694
Qwen/Qwen2.5-14B-Instruct,format:overall,format,overall,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,231.33333333333334,6.658328118479392,224,237,0.5502536992051851,0.015477386540583294,0.5357142857142857,0.5665236051502146,0.6424257054553952,0.017405114711951518,0.630901287553648,0.6624472573839663,0.09107984701730966,0.025444154055066875,0.06309012875536481,0.11281012658227847,0.0036705708304604436,0.006066709584667637,2.532080361561384e-05,0.010673840530216694
Qwen/Qwen2.5-14B-Instruct,format:overall,format,overall,POOLED_RULE_BEST,FORMAT_TUNED_SIMPLE_RULE,231.33333333333334,6.658328118479392,224,237,0.6424257054553952,0.017405114711951518,0.630901287553648,0.6624472573839663,0.6424257054553952,0.017405114711951518,0.630901287553648,0.6624472573839663,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Qwen/Qwen2.5-14B-Instruct,format:overall,format,overall,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,231.33333333333334,6.658328118479392,224,237,0.6424257054553952,0.017405114711951518,0.630901287553648,0.6624472573839663,0.573186065773804,0.03607598398858504,0.5446428571428571,0.6137339055793991,-0.0689707089306087,0.04579744582661233,-0.10141772151898736,-0.016583690987124464,0.0964169738193353,0.16683594165030927,8.430331945419312e-06,0.2890625
Qwen/Qwen2.5-14B-Instruct,math:hard_cluster_main_r2,math,hard_cluster_main_r2,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,542.0,15.874507866387544,524,554,0.7146183772690239,0.009764443189519795,0.7043795620437956,0.723826714801444,0.818897928966806,0.01885504475791608,0.8029197080291971,0.8396946564885496,0.10460519099659467,0.0157328871680064,0.09169675090252707,0.12212977099236642,1.1941340567258901e-05,1.1000339856929557e-05,1.487726043043053e-08,2.1689685390858223e-05
Qwen/Qwen2.5-14B-Instruct,math:hard_cluster_main_r2,math,hard_cluster_main_r2,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,542.0,15.874507866387544,524,554,0.7146183772690239,0.009764443189519795,0.7043795620437956,0.723826714801444,0.8238000652677221,0.01795017777030496,0.8083941605839416,0.8435114503816794,0.10946249744450785,0.01481519803928569,0.097028880866426,0.12585496183206107,2.801876798896236e-06,2.5366715266688787e-06,3.6957118322321716e-09,4.950860259590817e-06
